ply,our_move,sf_move,same_move,centipawn_loss,step_smartness,decision_time,pruned_branches
2,h2h4,c2c3,False,8,-17,0.007421016693115234,0
4,d2d3,a2a3,False,13,-40,0.00666499137878418,0
6,g2g3,c2c3,False,14,0,0.011086702346801758,0
8,f1h3,c2c3,False,6,-19,0.011343955993652344,0
10,h3c8,h3g2,False,12,-13,0.015614748001098633,0
12,a2a3,a2a3,True,0,-27,0.013755321502685547,0
14,h1h2,c2c3,False,80,-117,0.011961698532104492,0
16,d1d2,e2e4,False,158,-114,0.01432943344116211,0
18,d2e3,b1c3,False,52,-40,0.01763749122619629,0
20,e1f1,h4h5,False,49,5,0.0205535888671875,0
22,h2h1,e3f3,False,39,6,0.020165205001831055,0
24,c2c3,a3a4,False,19,13,0.01834559440612793,0
26,e3f3,b2b3,False,28,25,0.013065338134765625,0
28,h1h3,a3a4,False,52,-99,0.017728567123413086,0
30,d3e4,f3g2,False,19,32,0.0187222957611084,0
32,f3h1,f3h1,True,0,-20,0.02006363868713379,0
34,c3c4,b2b3,False,60,-338,0.016003847122192383,0
36,c4d5,c1f4,False,9551.0,-9496.0,0.018912315368652344,0
