ply,our_move,sf_move,same_move,centipawn_loss,step_smartness,decision_time,pruned_branches
2,g1f3,e2e4,False,20,-23,0.0076825618743896484,0
4,f3e5,d2d4,False,87,-85,0.010779857635498047,0
6,e5f3,e5f3,True,0,-11,0.012232780456542969,0
8,h1g1,d2d3,False,140,-163,0.012982368469238281,0
10,f3h4,f3d4,False,167,-124,0.011620044708251953,0
12,b2b3,e2e3,False,33,-48,0.011602401733398438,0
14,e2e3,e2e3,True,0,-30,0.011181354522705078,0
16,c2c3,f1e2,False,154,-154,0.01531219482421875,0
18,f1e2,f1e2,True,0,-29,0.014880895614624023,0
20,e2h5,c3c4,False,66,-68,0.015712738037109375,0
22,h5e2,d2d4,False,81,-107,0.015105724334716797,0
24,f2f3,g1h1,False,140,-157,0.019816875457763672,0
26,g1f1,e1f1,False,35,-33,0.018210411071777344,0
28,f1f2,f1f2,True,0,-19,0.0012290477752685547,0
30,g2h3,g2h3,True,0,-95,0.01661515235900879,0
32,f3e4,e2f1,False,100,-84,0.01667618751525879,0
34,e4d5,d2d4,False,8974.0,-9073.0,0.02026534080505371,0
