ply,our_move,sf_move,same_move,centipawn_loss,step_smartness,decision_time,pruned_branches
2,c2c3,e2e4,False,36,-39,0.007238864898681641,0
4,a2a4,d2d4,False,55,-58,0.01024174690246582,0
6,d1b3,d2d3,False,39,-41,0.01360177993774414,0
8,e1d1,d2d3,False,112,-122,0.016494035720825195,0
10,b3b5,e2e3,False,93,-56,0.020174026489257812,0
12,d2d3,d1e1,False,152,-129,0.017619609832763672,0
14,d1d2,g1h3,False,161,-187,0.022505521774291992,0
16,g2g4,g1h3,False,63,-93,0.01787257194519043,0
18,b5b3,b5b3,True,0,28,0.02073073387145996,0
20,g1f3,g1h3,False,1,-25,0.01877880096435547,0
22,d3e4,f3d4,False,19,2,0.023655176162719727,0
24,f3e1,f3d4,False,120,-120,0.02043938636779785,0
26,d2c2,d2c2,True,0,76,0.0023851394653320312,0
28,g4g5,b1d2,False,9116.0,-9095.0,0.022749900817871094,0
