ply,our_move,sf_move,same_move,centipawn_loss,step_smartness,decision_time,pruned_branches
2,c2c3,e2e4,False,36,-39,0.007494449615478516,0
4,b2b3,d2d4,False,96,-99,0.010148048400878906,0
6,g2g3,g2g3,True,0,-4,0.012958765029907227,0
8,f2f3,f1g2,False,113,-101,0.014113426208496094,0
10,e1f2,d2d4,False,53,-71,0.014147281646728516,0
12,g3h4,g3g4,False,609,-629,0.015446662902832031,0
14,f2e3,f2e3,True,0,29,0.0020928382873535156,0
16,e3f2,e3d3,False,75,94,0.002004384994506836,0
18,f2e3,f2g2,False,161,132,0.0019931793212890625,0
20,c3d4,e3d3,False,9417.0,-9435.0,0.001004934310913086,0
