ply,our_move,sf_move,same_move,centipawn_loss,step_smartness,decision_time,pruned_branches
2,f2f4,c2c3,False,8,-17,0.00760197639465332,0
4,c2c4,a2a3,False,5,-40,0.006344795227050781,0
6,d1b3,e2e3,False,32,-17,0.0077457427978515625,0
8,g1f3,g2g3,False,26,-2,0.013802766799926758,0
10,b1c3,g2g3,False,0,-5,0.016296863555908203,0
12,b3a4,e2e4,False,17,-69,0.01732325553894043,0
14,e2e3,a2a3,False,3,-17,0.017421722412109375,0
16,c3e2,a2a3,False,57,-53,0.018727779388427734,0
18,a4b5,a2a3,False,83,-88,0.016215085983276367,0
20,b5b7,b5b3,False,185,-171,0.0205228328704834,0
22,f3g5,e2c3,False,63,-58,0.021300077438354492,0
24,a2a3,b7f3,False,56,8,0.022788524627685547,0
26,e1d1,e1d1,True,0,106,0.0,0
28,g5e6,e2c3,False,57,-216,0.022060632705688477,0
30,g2g4,d1c2,False,88,-95,0.019929170608520508,0
32,f1h3,d1c2,False,107,-122,0.01967477798461914,0
34,b7e4,b7g2,False,246,-258,0.01991128921508789,0
36,d1e1,d1e1,True,0,139,0.002053499221801758,0
38,h3g4,h3g4,True,0,26,0.010936260223388672,0
40,c4d5,c4d5,True,0,130,0.013198137283325195,0
42,g4f3,d5e6,False,72,-7,0.014697551727294922,0
44,d5e6,d5e6,True,0,124,0.014764070510864258,0
46,f3c6,f3c6,True,0,105,0.015532970428466797,0
48,c6a4,h1g1,False,32,74,0.017000436782836914,0
50,a1a2,e2c3,False,119,-43,0.01581549644470215,0
52,e1f2,e2d4,False,166,-60,0.015103816986083984,0
54,f2e1,f2g2,False,14,55,0.0030672550201416016,0
56,e1d1,e2g3,False,33,28,0.0011227130889892578,0
58,d1e1,d1c2,False,67,55,0.0014896392822265625,0
60,h1f1,h1f1,True,0,9,0.0171511173248291,0
62,e1d1,e1d1,True,0,-11,0.0010046958923339844,0
64,c1b2,c1b2,True,0,164,0.017744779586791992,0
66,a2b2,a2b2,True,0,164,0.001207590103149414,0
68,e2d4,e2d4,True,0,40,0.01358342170715332,0
70,d1c1,d1c1,True,0,81,0.002477884292602539,0
72,h2h3,e6e7,False,139,-1,0.01326298713684082,0
74,f1d1,f1d1,True,0,55,0.014234781265258789,0
76,d4c2,d4c6,False,0.0,-9366.0,0.011464834213256836,0
